,t,Flux,Flux_error
0,1544.3803047912575,189697.11,51.144547
1,1544.3816936982023,189493.56,51.11029
2,1544.3830826056121,189510.75,51.10001
3,1544.384471512557,189469.36,51.078594
4,1544.3858604195025,189516.25,51.068947
5,1544.387249326913,189459.88,51.062355
6,1544.388638233857,189550.11,51.06409
7,1544.390027140801,189495.89,51.049892
8,1544.3914160482122,189531.25,51.030655
9,1544.3928049551578,189560.52,51.055172
10,1544.394193862102,189543.69,51.041267
11,1544.3955827695124,189431.75,51.00969
12,1544.3969716764573,189571.56,51.017715
13,1544.3983605834014,189529.53,51.00701
14,1544.399749490812,189395.44,50.995056
15,1544.4011383977574,189550.14,50.972633
16,1544.402527304702,189603.88,50.97202
17,1544.4039162121119,189580.78,50.98391
18,1544.4053051190567,189565.7,50.992977
19,1544.4066940260022,189496.89,50.966503
20,1544.4080829334127,189519.28,50.95349
21,1544.409471840357,189587.75,50.949024
22,1544.4108607473017,189550.8,50.928555
23,1544.4122496542466,189359.83,50.901424
24,1544.4136385616564,189468.69,50.897392
25,1544.4150274686012,189400.56,50.85945
26,1544.4164163755468,189551.52,50.864563
27,1544.4178052829573,189443.55,50.840363
28,1544.4191941899012,189479.25,50.86425
29,1544.420583096846,189427.56,50.802834
30,1544.4219720042572,189507.36,50.830093
31,1544.423360911202,189503.5,50.862038
32,1544.4247498181462,189512.9,50.819126
33,1544.426138725091,189337.52,50.75955
34,1544.4275276325016,189478.88,50.76827
35,1544.4289165394457,189403.5,50.786366
36,1544.4303054463905,189504.92,50.804474
37,1544.4316943538017,189528.81,50.788963
38,1544.4330832607463,189422.98,50.769207
39,1544.4344721676905,189404.53,50.762714
40,1544.4358610746353,189437.19,50.765026
41,1544.4372499820465,189500.38,50.769394
42,1544.4386388889914,189427.36,50.704315
43,1544.4400277959355,189565.47,50.742332
44,1544.441416703346,189528.02,50.75485
45,1544.4428056102909,189329.78,50.711967
46,1544.4441945172357,189349.94,50.710552
47,1544.4455834241805,189386.39,50.69721
48,1544.4469723315908,189421.5,50.690693
49,1544.4483612385357,189389.73,50.682053
50,1544.4497501454798,189562.08,50.695625
51,1544.4511390524247,189412.75,50.66396
52,1544.4525279598358,189432.83,50.660686
53,1544.4539168667807,189395.88,50.653397
54,1544.4553057737248,189366.86,50.633717
55,1544.4566946806697,189555.05,50.648926
56,1544.4580835880802,189446.17,50.635185
57,1544.459472495025,189469.7,50.623596
58,1544.4608614019699,189429.53,50.59166
59,1544.4622503089147,189529.38,50.598503
60,1544.463639216325,189507.9,50.62511
61,1544.4650281232691,189469.67,50.621952
62,1544.466417030214,189505.64,50.595184
63,1544.4678059371595,189545.12,50.57966
