hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458341.94021,bf,V,13.267,0.02214,18.933,0.386
2457790.71367,bf,V,13.846,0.0229,11.101,0.234
2457782.68855,bf,V,14.162,0.02534,8.301,0.194
2457762.63328,bf,V,13.296,0.02206,18.427,0.374
2457292.78919,bf,V,13.774,0.02255,11.862,0.246
2457076.56603,bf,V,13.511,0.02186,15.113,0.304
2457017.71835,bf,V,13.471,0.02185,15.682,0.315
2458148.68351,bf,V,14.041,0.02423,9.279,0.207
2458082.86121,bf,V,13.669,0.02216,13.067,0.266
2457668.87912,bf,V,13.908,0.02327,10.488,0.224
2457331.82542,bf,V,14.032,0.02416,9.357,0.208
2456936.85789,bf,V,13.997,0.02388,9.662,0.212
2458352.85566,bf,V,13.573,0.02194,14.28,0.288
2457756.6141,bf,V,13.824,0.02279,11.327,0.237
2457713.65452,bf,V,13.457,0.02185,15.897,0.32
2457131.50203,bf,V,14.032,0.02416,9.354,0.208
2456889.899,bf,V,14.022,0.02408,9.444,0.209
2458151.64322,bf,V,13.953,0.02356,10.064,0.218
2458137.68357,bf,V,13.951,0.02355,10.084,0.218
2458135.68805,bf,V,13.993,0.02385,9.703,0.213
2457789.71422,bf,V,13.935,0.02344,10.234,0.221
2457673.74658,bf,V,14.097,0.02472,8.815,0.2
2457337.80407,bf,V,13.512,0.02187,15.108,0.304
2457135.48717,bf,V,13.688,0.02222,12.842,0.262
2458124.53498,bf,V,13.459,0.02185,15.858,0.319
2457798.69459,bf,V,14.001,0.02392,9.627,0.212
2457742.64466,bf,V,13.718,0.02232,12.497,0.257
2457423.66108,bf,V,13.951,0.02355,10.084,0.218
2457287.76442,bf,V,13.618,0.02202,13.699,0.278
2457038.61682,bf,V,14.028,0.02413,9.393,0.208
2458021.75556,bf,V,14.135,0.02507,8.512,0.196
2457855.52778,bf,V,14.091,0.02466,8.865,0.201
2457691.71696,bf,V,13.997,0.02388,9.667,0.212
2457589.92547,bf,V,13.983,0.02378,9.792,0.214
2457418.59556,bf,V,14.052,0.02433,9.189,0.206
2457127.51098,bf,V,14.116,0.02489,8.663,0.198
2457126.52057,bf,V,14.24,0.02618,7.723,0.186
2457710.67635,bf,V,13.827,0.0228,11.302,0.237
2457608.88624,bf,V,13.571,0.02193,14.31,0.289
2457045.62021,bf,V,13.571,0.02193,14.3,0.289
2457011.64489,bf,V,13.867,0.02302,10.893,0.231
2457635.89594,bf,V,14.009,0.02398,9.559,0.211
2458045.69016,bf,V,13.711,0.02229,12.57,0.258
2458018.76614,bf,V,13.418,0.02186,16.471,0.331
2457433.67818,bf,V,14.124,0.02497,8.596,0.197
2457015.64138,bf,V,13.426,0.02186,16.352,0.329
2458334.90575,bf,V,13.997,0.02388,9.662,0.212
2457725.59002,bf,V,13.655,0.02212,13.243,0.269
2457340.77797,bf,V,14.105,0.02479,8.748,0.2
2457325.70475,bf,V,14.027,0.02412,9.397,0.209
2458384.76832,bf,V,13.28,0.0221,18.705,0.38
2458310.94923,bf,V,13.272,0.02212,18.835,0.383
2458085.65212,bf,V,14.071,0.02449,9.027,0.203
2458010.87995,bf,V,14.115,0.02488,8.667,0.198
2458369.91257,bf,V,13.73,0.02236,12.362,0.254
2458342.93311,bf,V,13.176,0.02249,20.581,0.426
2458159.70332,bf,V,13.424,0.02186,16.386,0.33
2457036.61166,bf,V,14.06,0.02439,9.114,0.205
2458332.90886,bf,V,14.028,0.02413,9.391,0.208
2458019.76247,bf,V,13.287,0.02208,18.588,0.378
2458004.81994,bf,V,13.341,0.02196,17.68,0.357
2457708.63722,bf,V,13.866,0.02301,10.902,0.231
2457445.63206,bf,V,13.394,0.02188,16.839,0.339
2457356.67552,bf,V,14.038,0.02421,9.301,0.207
2457293.85476,bf,V,13.241,0.02222,19.382,0.396
2457139.48678,bf,V,13.155,0.02259,20.98,0.436
2457000.65579,bf,V,13.377,0.0219,17.104,0.345
2456873.90519,bf,V,14.016,0.02403,9.492,0.21
2457759.57066,bf,V,13.281,0.0221,18.685,0.38
2457737.78429,bf,V,14.174,0.02546,8.21,0.192
2457037.61393,bf,V,14.12,0.02493,8.629,0.198
2458048.68443,bf,V,13.391,0.02188,16.885,0.34
2458017.76967,bf,V,13.572,0.02194,14.29,0.288
2457956.91819,bf,V,13.774,0.02255,11.866,0.246
2457766.74258,bf,V,13.71,0.02229,12.581,0.258
2457458.61694,bf,V,13.527,0.02188,14.896,0.3
2457419.72449,bf,V,14.081,0.02458,8.946,0.202
2456999.66547,bf,V,13.574,0.02194,14.26,0.288
2458162.57107,bf,V,14.035,0.02418,9.328,0.208
2458119.62054,bf,V,13.919,0.02334,10.38,0.223
2457969.93437,bf,V,14.046,0.02427,9.24,0.206
2457452.63983,bf,V,13.995,0.02387,9.679,0.213
2457420.6417,bf,V,14.024,0.0241,9.429,0.209
2457405.59622,bf,V,13.953,0.02356,10.064,0.218
2457360.67017,bf,V,13.93,0.02341,10.279,0.221
2457347.69545,bf,V,13.752,0.02245,12.107,0.25
2457065.67632,bf,V,13.323,0.02199,17.981,0.364
2456996.66306,bf,V,13.854,0.02295,11.021,0.233
2456976.80208,bf,V,14.097,0.02472,8.812,0.2
2458367.81664,bf,V,13.682,0.0222,12.915,0.264
2458339.89288,bf,V,13.392,0.02188,16.864,0.34
2458020.75924,bf,V,13.542,0.02189,14.698,0.296
2457978.87575,bf,V,14.183,0.02556,8.143,0.191
2457585.93684,bf,V,14.039,0.02422,9.293,0.207
2457394.62079,bf,V,13.525,0.02188,14.929,0.3
2457010.63549,bf,V,13.91,0.02328,10.466,0.224
2456888.87136,bf,V,14.041,0.02423,9.283,0.207
2458074.72025,bf,V,13.962,0.02363,9.979,0.217
2458033.72975,bf,V,13.425,0.02186,16.368,0.329
2457699.65542,bf,V,13.279,0.0221,18.717,0.381
2457110.56361,bf,V,13.411,0.02187,16.575,0.333
2456968.78599,bf,V,13.856,0.02296,11.005,0.232
2456942.74757,bf,V,13.811,0.02272,11.464,0.24
2457604.89513,bf,V,13.96,0.02361,9.996,0.217
2457425.64401,bf,V,13.721,0.02233,12.458,0.256
2457096.50404,bf,V,14.029,0.02414,9.38,0.208
2457689.66624,bf,V,14.045,0.02427,9.246,0.206
2457466.59468,bf,V,14.011,0.02399,9.54,0.211
2457074.57102,bf,V,13.709,0.02229,12.602,0.258
2457031.63255,bf,V,13.337,0.02196,17.742,0.359
2458320.92162,bf,V,13.89,0.02315,10.662,0.227
2458158.65584,bf,V,13.358,0.02193,17.399,0.351
2458138.66787,bf,V,13.858,0.02297,10.987,0.232
2457784.56833,bf,V,13.98,0.02376,9.814,0.215
2457333.74801,bf,V,13.741,0.02241,12.237,0.252
2456904.84237,bf,V,14.024,0.0241,9.424,0.209
2456876.92472,bf,V,13.957,0.02359,10.029,0.218
2458143.69723,bf,V,13.404,0.02187,16.689,0.336
2457947.94517,bf,V,13.837,0.02285,11.201,0.236
2457137.48328,bf,V,13.41,0.02187,16.589,0.334
2457118.54093,bf,V,13.919,0.02334,10.378,0.223
2457029.62586,bf,V,13.646,0.02209,13.346,0.271
2456789.45344,bf,V,13.206,0.02236,20.031,0.412
2458312.94604,bf,V,14.033,0.02417,9.349,0.208
2458075.72468,bf,V,13.953,0.02356,10.065,0.218
2457276.79636,bf,V,13.604,0.02199,13.884,0.281
2457269.80273,bf,V,13.897,0.0232,10.599,0.226
2457078.56289,bf,V,13.307,0.02203,18.244,0.37
2456988.59115,bf,V,14.04,0.02423,9.289,0.207
2458375.79112,bf,V,14.0,0.02391,9.636,0.212
2458052.67193,bf,V,14.059,0.02438,9.131,0.205
2457851.53817,bf,V,13.591,0.02197,14.04,0.284
2457416.71801,bf,V,13.407,0.02187,16.646,0.335
2457278.78887,bf,V,14.115,0.02488,8.67,0.198
2457267.80806,bf,V,14.021,0.02407,9.45,0.209
2457124.52936,bf,V,13.133,0.02271,21.416,0.447
2457009.65494,bf,V,14.063,0.02442,9.096,0.204
2458041.71431,bf,V,14.01,0.02398,9.544,0.211
2457953.93644,bf,V,13.989,0.02382,9.736,0.213
2457138.50768,bf,V,13.361,0.02192,17.355,0.35
2457058.68027,bf,V,13.972,0.0237,9.885,0.216
2457020.63167,bf,V,14.108,0.02482,8.722,0.199
2456925.78637,bf,V,13.34,0.02196,17.704,0.358
2456920.85271,bf,V,14.021,0.02407,9.456,0.209
2457434.67756,bf,V,14.056,0.02436,9.155,0.205
2457362.74685,bf,V,13.942,0.02349,10.161,0.22
2457141.47615,bf,V,14.149,0.02521,8.397,0.195
2456984.77116,bf,V,13.798,0.02266,11.611,0.242
2456978.69218,bf,V,14.009,0.02398,9.556,0.211
2458046.68687,bf,V,13.619,0.02203,13.693,0.277
2457867.48462,bf,V,13.302,0.02204,18.322,0.372
2457831.53705,bf,V,13.962,0.02363,9.978,0.217
2457261.82347,bf,V,13.643,0.02209,13.382,0.272
2457025.63536,bf,V,13.898,0.0232,10.59,0.226
2458080.58992,bf,V,14.149,0.02521,8.404,0.195
2457729.5888,bf,V,13.286,0.02208,18.604,0.378
2457377.62996,bf,V,13.7,0.02226,12.709,0.26
2458101.82523,bf,V,13.296,0.02206,18.425,0.374
2457704.70573,bf,V,14.031,0.02415,9.367,0.208
2457404.72233,bf,V,14.067,0.02445,9.06,0.204
2457388.76866,bf,V,14.179,0.02552,8.173,0.192
2458141.69403,bf,V,13.656,0.02212,13.229,0.269
2458005.79934,bf,V,13.301,0.02204,18.346,0.372
2457670.71951,bf,V,13.517,0.02187,15.037,0.303
2457424.64773,bf,V,13.803,0.02268,11.558,0.241
2457415.73817,bf,V,13.385,0.02189,16.982,0.342
